Deck,Meta,Winrate,My Winrate,Archetype,WeekIndex,Deck Display Name,Encounter Copies,Encounter Probability,Importance,Quartile,Prep Priority,Performance Label,Trend Label,Pillar,Emerging Threat,Declining Threat,Level
Boros Energy,12.5,52.0,54.0,Aggro,1,Boros Energy,154,0.48,0.87,Q4,Very High Prep Priority,Neutral,Stable,False,False,False,Deck
Affinity,11.2,53.0,51.0,Aggro,1,Affinity,138,0.44,0.75,Q3,High Prep Priority,Neutral,Stable,False,False,False,Deck
Jeskai Blink,8.1,49.0,54.0,Midrange,1,Jeskai Blink,100,0.35,0.52,Q4,Very High Prep Priority,Neutral,Stable,False,False,False,Deck
Izzet Prowess,6.8,47.5,33.0,Aggro,1,Izzet Prowess,84,0.30,0.38,Q2,Medium Prep Priority,Popular Trap,Stable,False,False,False,Deck
Ruby Storm,6.2,51.5,48.0,Combo,1,Ruby Storm,77,0.29,0.48,Q4,Very High Prep Priority,Neutral,Stable,False,False,False,Deck
Esper Phelia,4.8,48.0,49.0,Midrange,1,Esper Phelia,59,0.22,0.30,Q2,Medium Prep Priority,Popular Trap,Stable,False,False,False,Deck
Domain Aggro,4.5,49.0,50.0,Midrange,1,Domain Aggro,56,0.21,0.32,Q2,Medium Prep Priority,Popular Trap,Stable,False,False,False,Deck
Rogue,3.9,50.0,50.0,Rogue,1,Rogue,48,0.18,0.33,Q3,High Prep Priority,Neutral,Stable,False,False,False,Deck
Eldrazi Ramp,3.8,47.0,53.0,Ramp,1,Eldrazi Ramp,47,0.18,0.21,Q1,Low Prep Priority,Popular Trap,Stable,False,False,False,Deck
Amulet Titan,3.6,51.0,58.0,Combo,1,Amulet Titan,44,0.17,0.36,Q3,High Prep Priority,Neutral,Stable,False,False,False,Deck
Aggro,30.5,51.95,49.5,Aggro,1,Aggro,376,0.82,0.94,Q4,Very High Prep Priority,Neutral,Stable,False,False,False,Archetype
Combo,19.2,50.8,52.0,Combo,1,Combo,237,0.63,0.66,Q3,High Prep Priority,Neutral,Stable,False,False,False,Archetype
Control,2.8,46.5,34.0,Control,1,Control,35,0.14,0.07,Q1,Low Prep Priority,Neutral,Stable,False,False,False,Archetype
Midrange,24.3,49.3,48.5,Midrange,1,Midrange,299,0.74,0.69,Q4,Very High Prep Priority,Popular Trap,Stable,False,False,False,Archetype
Ramp,7.0,46.8,51.0,Ramp,1,Ramp,86,0.30,0.15,Q1,Low Prep Priority,Neutral,Stable,False,False,False,Archetype
Boros Energy,13.2,53.0,55.0,Aggro,2,Boros Energy,163,0.51,0.90,Q4,Very High Prep Priority,Neutral,Rising,False,False,False,Deck
Affinity,10.1,52.5,50.0,Aggro,2,Affinity,125,0.41,0.70,Q3,High Prep Priority,Neutral,Falling,False,False,False,Deck
